Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"fin"	417	79	-0.3236	161	1.3434	177	-1.1875
"après"	284	67	1.4144	100	0.3699	117	-1.3099
"imaginer"	37	9	0.5665	9	-0.8954	19	0.4907
"enfoncer"	10	2	0.2219	3	-0.2785	5	0.2772
"main"	136	23	-0.5393	54	0.9216	59	-0.5539
"afin"	123	17	-1.1176	39	-0.5395	67	1.3832
"extirper"	3	0	-0.278	0	-0.5519	3	1.0045
"boyau"	2	0	-0.1853	0	-0.3679	2	0.6696
"stade"	10	3	0.525	3	-0.2785	4	-0.3263
"développer"	74	14	-0.2634	29	0.6311	31	-0.5802
"raison"	109	34	2.7198	34	-0.5756	41	-1.3705
"me"	1151	308	9.5735	380	-0.8353	463	-4.6796
"motiver"	14	5	0.9451	6	0.4616	3	-1.2806
"écrire"	69	9	-0.9108	20	-0.6969	40	1.4725
"moi"	273	63	1.1966	87	-0.7105	123	-0.4338
"vidéoludique"	51	11	0.4108	10	-1.8197	30	1.313
"J'"	4	0	-0.3706	0	-0.7359	4	1.3393
"notamment"	119	8	-3.9762	49	1.1087	62	0.929
"relativement"	40	8	0.29	14	0.2721	18	-0.3
"matière"	20	6	0.7676	5	-0.5861	9	-0.2625
"ambiance"	235	32	-1.8156	75	-0.6576	128	2.1535
"mise"	79	17	0.4639	25	-0.4677	37	0.2987
"travers"	71	4	-2.9729	23	-0.393	44	2.2527
"thématique"	16	0	-1.4825	5	-0.2959	11	1.2229
"suivre|être"	325	69	0.7089	108	-0.4768	148	-0.3771
"retrouver"	251	31	-2.5975	86	-0.3067	134	1.8565
"situation"	79	16	0.3451	24	-0.5889	39	0.4832
"dégager"	27	3	-0.6781	9	-0.2702	15	0.6604
"chose"	470	104	1.2021	164	0.3453	202	-1.0779
"extrêmement"	61	10	-0.4475	20	-0.3515	31	0.5555
"malsain"	5	2	0.6079	0	-0.9198	3	0.3665
"attirer"	29	7	0.499	9	-0.3681	13	-0.2886
"ailleurs"	144	28	0.2965	48	-0.3784	68	0.3565
"sous-titre"	4	0	-0.3706	0	-0.7359	4	1.3393
"représentatif"	5	0	-0.4633	2	0.2498	3	0.3665
"ressentir"	68	8	-1.1289	23	-0.2948	37	0.9585
"dire"	588	123	0.799	206	0.3831	259	-0.8223
"distinction"	2	0	-0.1853	1	0.2431	1	0.148
"important"	91	17	-0.29	39	1.215	35	-1.0849
"manipuler"	8	1	-0.2785	2	-0.3575	5	0.5453
"action"	212	36	-0.6327	60	-1.4988	116	2.0848
"où"	450	74	-1.1296	171	1.1694	205	-0.3966
"traiter"	12	3	0.3834	4	-0.224	5	-0.3086
"perte"	12	2	-0.2318	2	-0.7978	8	0.8872
"inciter"	13	2	-0.2749	4	-0.2882	7	0.4073
"tuer"	157	37	0.9932	62	0.9534	58	-1.9407
"exemple"	125	28	0.6741	39	-0.6073	58	0.2823
"perturbant"	4	0	-0.3706	0	-0.7359	4	1.3393
"peut-être"	77	15	0.2824	32	0.9196	30	-0.9182
"mien"	8	1	-0.2785	3	0.2511	4	0.2579
"précis"	35	8	0.4497	11	-0.3719	16	-0.2649
"démontrer"	7	1	-0.2229	1	-0.6164	5	0.77
"tournevis"	2	0	-0.1853	0	-0.3679	2	0.6696
"réflexe"	5	1	0.1832	1	-0.3591	3	0.3665
"joueur"	407	67	-1.0589	133	-0.6344	207	1.4558
"utiliser"	146	23	-0.7697	53	0.4491	70	0.43
"objet"	74	11	-0.6684	27	0.3937	36	0.4172
"espérer"	48	10	0.3521	21	0.9292	17	-1.0663
"déclencher"	19	2	-0.5789	6	-0.3023	11	0.6669
"dialogue"	104	29	1.6929	37	0.3491	38	-1.542
"base"	122	25	0.4033	49	0.946	48	-1.1289
"genre"	208	58	2.8145	53	-2.499	97	0.3156
"selon"	73	6	-2.0946	20	-0.9131	47	2.8599
"tenter"	55	12	0.4402	16	-0.6156	27	0.4131
"assassiner"	36	9	0.6128	16	0.8494	11	-1.3872
"vrai"	228	40	-0.5324	77	-0.3619	111	0.5994
"connard"	6	2	0.4878	1	-0.4842	3	0.2338
"totalement"	122	34	1.8888	51	1.2451	37	-3.6192
"justifier"	36	7	0.2576	14	0.4579	15	-0.4539
"bon"	721	140	0.3381	250	0.3171	331	-0.356
"sûr"	56	11	0.2832	14	-1.0728	31	0.962
"rien"	403	108	3.8958	160	1.7641	135	-6.8833
"passer"	516	116	1.45	174	-0.434	226	-0.8515
"idée"	147	37	1.3444	54	0.5018	56	-1.5526
"traverser"	31	5	-0.3604	9	-0.4807	17	0.6617
"peu"	957	151	-2.4788	385	3.8654	421	-1.0734
"discuter"	14	3	0.2824	5	0.2498	6	-0.2943
"aimer"	202	42	0.5082	63	-0.7505	97	0.4784
"lendemain"	4	0	-0.3706	2	0.3678	2	0.2011
"normal"	36	8	0.4125	16	0.8494	12	-1.0889
"arriver"	232	44	-0.2992	85	0.5673	103	-0.5113
"si"	974	170	-1.0618	350	0.7282	454	0.3724
"responsable"	12	2	-0.2318	5	0.3947	5	-0.3086
"?"	596	161	5.6558	201	-0.4478	234	-3.4769
"transmettre"	6	1	-0.1709	1	-0.4842	4	0.5584
"Et"	80	20	0.913	26	-0.3978	34	-0.5408
"impliquer"	23	6	0.5663	7	-0.3643	10	-0.3197
"mort"	101	12	-1.4542	39	0.6521	50	0.5391
"posséder"	85	6	-2.8263	35	0.9179	44	0.7414
"particularité"	7	0	-0.6486	3	0.3401	4	0.3782
"renforcer"	26	3	-0.627	3	-2.096	20	2.8379
"sentiment"	76	6	-2.2723	31	0.8173	39	0.6565
"dirigiste"	8	2	0.3248	3	0.2511	3	-0.349
"linéarité"	16	4	0.4314	7	0.5263	5	-0.768
"considérer"	32	8	0.5808	8	-0.7643	16	0.3969
"défaut"	265	29	-3.7094	106	1.4398	130	0.706
"nécessaire"	43	12	0.9666	15	0.2693	16	-0.8246
"effet"	163	31	-0.2817	48	-1.0058	84	0.9928
"regarder"	98	25	1.1174	36	0.4453	37	-1.255
"sauter"	110	26	0.8368	46	1.172	38	-2.0723
"là"	419	89	0.7952	145	0.2963	185	-0.6828
"continuer"	72	13	-0.3254	27	0.4703	32	-0.3709
"effectuer"	60	16	1.0018	20	-0.317	24	-0.6988
"tâche"	18	6	0.9417	3	-1.0739	9	0.3325
"tour"	154	23	-0.9827	47	-0.7746	84	1.6223
"pnjs"	3	2	1.0153	0	-0.5519	1	-0.2549
"interaction"	36	4	-0.8175	15	0.635	17	0.2852
"possible"	124	29	0.8429	39	-0.5729	56	-0.3571
"indice"	20	4	0.2569	8	0.4182	8	-0.4312
"disséminer"	11	0	-1.0192	7	1.3309	4	-0.4382
"clé"	25	4	-0.3372	10	0.4548	11	-0.3082
"comprendre"	246	50	0.452	83	-0.3709	113	-0.3136
"histoire"	561	90	-1.5244	203	0.6633	268	0.6042
"position"	15	3	0.2427	3	-0.7388	9	0.6794
"soumission"	2	0	-0.1853	0	-0.3679	2	0.6696
"joue"	16	5	0.7479	4	-0.5188	7	-0.2822
"marionnette"	2	0	-0.1853	1	0.2431	1	0.148
"limite"	50	12	0.6161	23	1.2092	15	-1.8476
"devenir"	245	44	-0.464	73	-1.1766	128	1.458
"limitation"	5	2	0.6079	1	-0.3591	2	-0.2442
"manifester"	4	0	-0.3706	1	-0.2431	3	0.5874
"partir"	174	39	0.7848	50	-1.2101	85	0.5678
"encore"	502	90	-0.5981	154	-1.4272	258	1.9268
"impression"	165	43	1.72	60	0.4721	62	-1.8241
"finalement"	113	27	0.8945	36	-0.5061	50	-0.4318
"vidéo"	192	39	0.4234	47	-2.763	106	2.1009
"interagir"	13	3	0.3288	5	0.3142	5	-0.408
"aide"	48	3	-1.9578	17	0.2986	28	1.2024
"adapter"	31	6	0.2488	7	-0.9556	18	0.8943
"contrainte"	9	1	-0.3369	3	-0.2072	5	0.3887
"fait"	277	56	0.4453	98	0.3923	123	-0.5396
"purement"	10	2	0.2219	5	0.6229	3	-0.6196
"virtuel"	16	7	1.6651	5	-0.2959	4	-1.1506
"seulement"	76	10	-0.9467	31	0.8173	35	-0.2735
"amas"	2	0	-0.1853	0	-0.3679	2	0.6696
"pixel"	7	0	-0.6486	1	-0.6164	6	1.3832
"humain"	49	4	-1.5381	14	-0.6271	31	1.908
"assister"	25	4	-0.3372	5	-1.0449	16	1.2428
"quotidien"	14	2	-0.3205	6	0.4616	6	-0.2943
"intimité"	5	0	-0.4633	3	0.6422	2	-0.2442
"donner"	384	82	0.8007	139	0.5815	163	-1.1322
"immobile"	5	2	0.6079	1	-0.3591	2	-0.2442
"attendre"	225	50	0.8402	68	-1.0103	107	0.4289
"instruction"	3	0	-0.278	1	-0.1399	2	0.3527
"lors"	132	22	-0.5713	50	0.6286	60	-0.3354
"phase"	155	48	3.5007	55	0.3653	52	-3.0528
"enquête"	28	10	1.5179	11	0.439	7	-1.7534
"accentuer"	4	0	-0.3706	0	-0.7359	4	1.3393
"idéer"	2	0	-0.1853	1	0.2431	1	0.148
"répondre"	41	7	-0.3402	15	0.3481	19	0.2547
"envie"	157	35	0.725	55	0.3211	67	-0.6856
"autour"	43	11	0.7211	12	-0.642	20	0.2629
"dominant"	4	1	0.2411	0	-0.7359	3	0.5874
"/"	395	104	3.4744	130	-0.5731	161	-1.8001
"dominer"	5	1	0.1832	1	-0.3591	3	0.3665
"scénario"	453	135	7.387	154	-0.3702	164	-5.0324
"sommer|être"	27	7	0.6	9	-0.2702	11	-0.4519
"amener"	53	6	-1.0254	15	-0.6762	32	1.5648
"activité"	30	8	0.6874	13	0.6907	9	-1.2768
"nocturne"	3	1	0.3254	0	-0.5519	2	0.3527
"adepte"	5	1	0.1832	3	0.6422	1	-0.6238
"initier"	5	0	-0.4633	1	-0.3591	4	0.841
"bondage"	2	1	0.4593	0	-0.3679	1	0.148
"discours"	16	4	0.4314	3	-0.8466	9	0.5375
"plaisir"	224	35	-1.0071	70	-0.7749	119	1.6353
"éprouver"	7	2	0.3963	2	-0.2652	3	-0.2355
"douleur"	9	1	-0.3369	1	-0.8963	7	1.2349
"fortement"	21	4	-0.2062	3	-1.439	14	1.3135
"conseiller"	32	3	-0.9505	8	-0.7643	21	1.6666
"marier"	8	0	-0.7412	3	0.2511	5	0.5453
"gore"	8	2	0.3248	0	-1.4718	6	0.9965
"retenir"	41	8	0.2651	14	-0.2586	19	0.2547
"narratif"	46	14	1.3372	8	-2.0746	24	0.5933
"plaire"	42	12	1.0293	14	-0.2956	16	-0.7382
"proposer"	168	29	-0.5253	50	-0.9567	89	1.3217
"énigme"	36	3	-1.1857	10	-0.5974	23	1.5977
"toujours"	417	55	-3.1441	129	-1.176	233	4.2931
