Unité	F	f_1 - 5	Score	f_6 - 7	Score	f_8 - 10	Score
"aspiration"	4	4	2.8658	0	-0.7359	0	-1.0787
"fondement"	3	1	0.3254	1	-0.1399	1	-0.2549
"détour"	14	2	-0.3205	5	0.2498	7	0.3079
"opérer"	9	3	0.6176	1	-0.8963	5	0.3887
"dissonance"	3	3	2.1493	0	-0.5519	0	-0.809
"rêverie"	2	2	1.4329	0	-0.3679	0	-0.5394
"difficilement"	10	2	0.2219	4	0.3247	4	-0.3263
"oubliable"	4	1	0.2411	3	0.9135	0	-1.0787
"incohérent"	11	6	2.0211	3	-0.3579	2	-1.2571
"récit"	21	10	2.5243	2	-2.0152	9	-0.3325
"intrigue"	78	19	0.8069	34	1.2171	25	-2.122
"catapulter"	3	1	0.3254	2	0.5601	0	-0.809
"cut-scene"	2	2	1.4329	0	-0.3679	0	-0.5394
"fedex"	7	4	1.5373	3	0.3401	0	-1.8878
"chasser"	31	4	-0.5805	7	-0.9556	20	1.5026
"capitale"	3	1	0.3254	0	-0.5519	2	0.3527
"Insomnia"	6	3	1.0485	3	0.4641	0	-1.6181
"évincer"	2	1	0.4593	1	0.2431	0	-0.5394
"pluie"	7	2	0.3963	0	-1.2878	5	0.77
"annexe"	158	41	1.6358	58	0.5099	59	-1.8349
"dissonant"	4	3	1.6148	1	-0.2431	0	-1.0787
"faîte"	4	2	0.7726	1	-0.2431	1	-0.4311
"cohérent"	37	6	-0.3808	13	0.275	18	0.3487
"impérial"	3	2	1.0153	0	-0.5519	1	-0.2549
"pays"	17	4	0.3788	4	-0.6066	9	0.4238
"cueillir"	5	2	0.6079	0	-0.9198	3	0.3665
"botte"	8	2	0.3248	4	0.5473	2	-0.7006
"oignon"	11	1	-0.461	4	0.2507	6	0.3984
"grenouille"	6	2	0.4878	4	0.9493	0	-1.6181
"regagner"	2	2	1.4329	0	-0.3679	0	-0.5394
"bâcler"	18	6	0.9417	10	1.262	2	-2.7409
"hâte"	8	2	0.3248	3	0.2511	3	-0.349
"metteur"	2	2	1.4329	0	-0.3679	0	-0.5394
"raté"	7	5	2.4111	2	-0.2652	0	-1.8878
"morceau"	26	11	2.2385	4	-1.5674	11	-0.3767
"rush"	9	3	0.6176	2	-0.4581	4	-0.2281
"perceptible"	3	1	0.3254	1	-0.1399	1	-0.2549
"localité"	3	1	0.3254	1	-0.1399	1	-0.2549
"visite"	10	2	0.2219	2	-0.5657	6	0.5392
"cité"	48	4	-1.4784	15	-0.4229	29	1.4655
"meublage"	2	1	0.4593	1	0.2431	0	-0.5394
"bribe"	4	1	0.2411	1	-0.2431	2	0.2011
"incorporer"	8	5	2.06	2	-0.3575	1	-1.2606
"assombrir"	3	1	0.3254	1	-0.1399	1	-0.2549
"trempe"	2	1	0.4593	1	0.2431	0	-0.5394
"rattraper"	25	5	0.2676	13	1.263	7	-1.3043
"contemplatif"	11	2	-0.1914	4	0.2507	5	-0.2216
"background"	33	10	1.0648	16	1.1629	7	-2.5807
"choquer"	10	2	0.2219	2	-0.5657	6	0.5392
"sauvage"	41	4	-1.0792	9	-1.2264	28	2.4382
"pnj"	6	2	0.4878	3	0.4641	1	-0.8282
"habitation"	5	1	0.1832	1	-0.3591	3	0.3665
"station"	9	3	0.6176	3	-0.2072	3	-0.4778
"conflit"	16	4	0.4314	7	0.5263	5	-0.768
"armé"	6	1	-0.1709	2	-0.1828	3	0.2338
"proximité"	8	2	0.3248	5	0.9967	1	-1.2606
"insouciant"	2	2	1.4329	0	-0.3679	0	-0.5394
"crédible"	35	5	-0.5062	17	1.2173	13	-0.7418
"quoique"	7	2	0.3963	3	0.3401	2	-0.534
"accrocheur"	19	7	1.2512	5	-0.5062	7	-0.5552
"imprécis"	8	1	-0.2785	3	0.2511	4	0.2579
"faiblesse"	22	6	0.6267	9	0.4736	7	-0.901
"bancal"	27	9	1.2265	10	0.3342	8	-1.2208
"friendly"	2	1	0.4593	0	-0.3679	1	0.148
"combos"	15	1	-0.7302	10	1.9505	4	-0.9917
"déplorer"	6	1	-0.1709	2	-0.1828	3	0.2338
"creux"	21	12	3.8876	6	-0.4275	3	-2.6536
"contrôler"	48	5	-1.0984	23	1.4185	20	-0.5056
"boy"	20	2	-0.6355	1	-2.6169	17	3.3809
"band"	3	2	1.0153	1	-0.1399	0	-0.809
"vanne|vannes"	3	1	0.3254	0	-0.5519	2	0.3527
"véritablement"	39	2	-1.896	24	3.2853	13	-1.1471
"conflictualité"	2	2	1.4329	0	-0.3679	0	-0.5394
"effleurer"	6	2	0.4878	2	-0.1828	2	-0.3806
"fade"	14	5	0.9451	6	0.4616	3	-1.2806
"étant"	7	3	0.8705	2	-0.2652	2	-0.534
"sublime"	27	5	-0.2365	5	-1.2515	17	1.2159
"inégal"	9	2	0.2679	3	-0.2072	4	-0.2281
"végétation"	4	1	0.2411	0	-0.7359	3	0.5874
"touffe"	2	1	0.4593	0	-0.3679	1	0.148
"herbe"	9	1	-0.3369	3	-0.2072	5	0.3887
"ps4"	3	1	0.3254	1	-0.1399	1	-0.2549
"baisse"	6	2	0.4878	2	-0.1828	2	-0.3806
"framerate"	16	4	0.4314	6	0.3062	6	-0.4837
"notable"	7	1	-0.2229	4	0.7163	2	-0.534
"collision"	20	5	0.4735	5	-0.5861	10	0.3434
"crispant"	7	1	-0.2229	1	-0.6164	5	0.77
"carrure"	2	2	1.4329	0	-0.3679	0	-0.5394
"numéroter"	5	1	0.1832	3	0.6422	1	-0.6238
"sien"	9	2	0.2679	2	-0.4581	5	0.3887
"grandiose"	36	6	-0.3494	12	-0.2866	18	0.412
"transpirer"	7	3	0.8705	2	-0.2652	2	-0.534
"poésie"	20	3	-0.3502	5	-0.5861	12	0.805
"assemblage"	2	1	0.4593	1	0.2431	0	-0.5394
"trahir"	9	3	0.6176	0	-1.6557	6	0.7306
"charcuter"	7	4	1.5373	2	-0.2652	1	-1.0411
"produit"	28	9	1.1361	10	0.2854	9	-1.0254
"marque"	17	4	0.3788	3	-0.9584	10	0.672
"incruster"	2	1	0.4593	0	-0.3679	1	0.148
"publicité"	4	2	0.7726	1	-0.2431	1	-0.4311
"ost"	4	1	0.2411	1	-0.2431	2	0.2011
"désagréable"	18	1	-0.9451	8	0.5889	9	0.3325
"corde"	6	2	0.4878	2	-0.1828	2	-0.3806
"sensible"	12	2	-0.2318	3	-0.4444	7	0.5368
"appâter"	2	1	0.4593	1	0.2431	0	-0.5394
"stream"	2	1	0.4593	0	-0.3679	1	0.148
"marche"	24	3	-0.5287	14	1.8396	7	-1.1643
"veine"	5	1	0.1832	1	-0.3591	3	0.3665
"spin-offs"	2	1	0.4593	1	0.2431	0	-0.5394
"regrouper"	6	3	1.0485	1	-0.4842	2	-0.3806
"remake"	5	4	2.2393	0	-0.9198	1	-0.6238
"voie"	9	3	0.6176	4	0.4209	2	-0.8779
"artistiquer"	12	3	0.3834	2	-0.7978	7	0.5368
"-système"	2	2	1.4329	0	-0.3679	0	-0.5394
"impressionner"	13	4	0.6405	6	0.5658	3	-1.1039
"-une"	3	3	2.1493	0	-0.5519	0	-0.809
"-des"	4	4	2.8658	0	-0.7359	0	-1.0787
"-un"	3	2	1.0153	1	-0.1399	0	-0.809
"end-game"	3	1	0.3254	1	-0.1399	1	-0.2549
"---"	6	6	4.2987	0	-1.1038	0	-1.6181
"imparfait"	8	2	0.3248	1	-0.7541	5	0.5453
"évolutif"	4	3	1.6148	0	-0.7359	1	-0.4311
"--"	16	8	2.2657	5	-0.2959	3	-1.6514
"minimaliste"	4	1	0.2411	2	0.3678	1	-0.4311
"quid"	2	1	0.4593	0	-0.3679	1	0.148
"copier"	15	7	1.8376	5	-0.2369	3	-1.4633
"indigne"	4	2	0.7726	0	-0.7359	2	0.2011
"envergure"	5	1	0.1832	2	0.2498	2	-0.2442
"remplissage"	12	3	0.3834	8	1.63	1	-2.182
"costumer"	7	1	-0.2229	4	0.7163	2	-0.534
"labial"	2	1	0.4593	0	-0.3679	1	0.148
"mass"	2	1	0.4593	1	0.2431	0	-0.5394
"60h"	4	2	0.7726	2	0.3678	0	-1.0787
"opinion"	4	0	-0.3706	3	0.9135	1	-0.4311
"concerner"	55	12	0.4402	25	1.2139	18	-1.5356
"renouveler"	18	4	0.3328	6	-0.2473	8	-0.2717
"débat"	5	1	0.1832	3	0.6422	1	-0.6238
"définir"	11	0	-1.0192	7	1.3309	4	-0.4382
"fini"	13	2	-0.2749	7	0.9143	4	-0.6964
"I"	5	0	-0.4633	4	1.2886	1	-0.6238
"immobilisme"	2	0	-0.1853	2	0.9236	0	-0.5394
"communication"	10	4	0.969	4	0.3247	2	-1.0639
"évasif"	5	0	-0.4633	3	0.6422	2	-0.2442
"actualité"	5	1	0.1832	3	0.6422	1	-0.6238
"occidental"	9	0	-0.8339	4	0.4209	5	0.3887
"américain"	24	1	-1.3971	4	-1.3325	19	2.9831
"Xenoblade"	2	1	0.4593	1	0.2431	0	-0.5394
"The"	5	0	-0.4633	2	0.2498	3	0.3665
"panier"	3	0	-0.278	3	1.3854	0	-0.809
"grisant"	20	3	-0.3502	9	0.65	8	-0.4312
"inhérent"	5	0	-0.4633	4	1.2886	1	-0.6238
"monotonie"	6	0	-0.5559	4	0.9493	2	-0.3806
"découdre"	6	2	0.4878	3	0.4641	1	-0.8282
"marqueur"	3	0	-0.278	3	1.3854	0	-0.809
"triple"	6	0	-0.5559	4	0.9493	2	-0.3806
"majestueux"	6	2	0.4878	1	-0.4842	3	0.2338
"individuellement"	2	0	-0.1853	2	0.9236	0	-0.5394
"superficie"	2	0	-0.1853	2	0.9236	0	-0.5394
"lac|lacs"	2	0	-0.1853	1	0.2431	1	0.148
"chef-d'œuvre"	10	0	-0.9265	5	0.6229	5	0.2772
"représentant"	4	1	0.2411	1	-0.2431	2	0.2011
"fruit"	3	0	-0.278	1	-0.1399	2	0.3527
"énergie"	11	0	-1.0192	4	0.2507	7	0.7062
"consacrer"	6	3	1.0485	3	0.4641	0	-1.6181
"élan"	8	0	-0.7412	4	0.5473	4	0.2579
"sincère"	10	0	-0.9265	4	0.3247	6	0.5392
"émotionnellement"	6	0	-0.5559	3	0.4641	3	0.2338
"affectionner"	2	0	-0.1853	2	0.9236	0	-0.5394
"cloisonner"	4	0	-0.3706	2	0.3678	2	0.2011
"pose"	6	1	-0.1709	3	0.4641	2	-0.3806
"embrasser"	2	0	-0.1853	2	0.9236	0	-0.5394
"mutuellement"	2	0	-0.1853	2	0.9236	0	-0.5394
"contraignant"	2	0	-0.1853	1	0.2431	1	0.148
"incompatible"	2	0	-0.1853	2	0.9236	0	-0.5394
"concentrer"	24	8	1.1341	8	-0.2635	8	-0.8441
"revivre"	13	3	0.3288	5	0.3142	5	-0.408
"caractérisation"	5	0	-0.4633	5	2.309	0	-1.3484
"Kingsglaive"	2	1	0.4593	1	0.2431	0	-0.5394
"frappant"	5	0	-0.4633	3	0.6422	2	-0.2442
"empire"	20	1	-1.0929	11	1.3153	8	-0.4312
"retrouvaille"	6	0	-0.5559	1	-0.4842	5	1.1074
"alchimie"	7	1	-0.2229	3	0.3401	3	-0.2355
"attachement"	15	2	-0.3684	4	-0.4362	9	0.6794
"affectif"	2	0	-0.1853	1	0.2431	1	0.148
"délaisser"	7	0	-0.6486	3	0.3401	4	0.3782
"guide"	6	1	-0.1709	5	1.6782	0	-1.6181
"éclaircir"	5	0	-0.4633	3	0.6422	2	-0.2442
"béant"	5	0	-0.4633	4	1.2886	1	-0.6238
"cicatrice"	4	1	0.2411	2	0.3678	1	-0.4311
"balance"	6	1	-0.1709	3	0.4641	2	-0.3806
"pencher"	8	0	-0.7412	4	0.5473	4	0.2579
"faveur"	2	0	-0.1853	2	0.9236	0	-0.5394
"condition"	28	5	-0.2652	11	0.439	12	-0.3625
"naufrage"	5	2	0.6079	3	0.6422	0	-1.3484
"déboucher"	4	0	-0.3706	4	1.8472	0	-1.0787
"individu"	14	3	0.2824	6	0.4616	5	-0.5184
"évoquer"	18	5	0.5945	5	-0.4309	8	-0.2717
"plaisanter"	3	0	-0.278	2	0.5601	1	-0.2549
"cohésion"	2	0	-0.1853	1	0.2431	1	0.148
"émouvoir"	17	1	-0.8724	6	0.2486	10	0.672
"suivant"	34	6	-0.2902	12	0.2782	16	0.2762
"tragédie"	3	0	-0.278	3	1.3854	0	-0.809
"sacrifice"	9	0	-0.8339	3	-0.2072	6	0.7306
"réunion"	2	0	-0.1853	1	0.2431	1	0.148
"Noctis"	3	0	-0.278	2	0.5601	1	-0.2549
"emprunter"	17	4	0.3788	6	0.2486	7	-0.364
"exciter"	2	0	-0.1853	1	0.2431	1	0.148
"concrétiser"	2	1	0.4593	1	0.2431	0	-0.5394
"ps3"	4	1	0.2411	1	-0.2431	2	0.2011
"changement"	36	5	-0.5457	10	-0.5974	21	1.0029
"versus"	6	0	-0.5559	6	2.7708	0	-1.6181
"précédemment"	8	1	-0.2785	3	0.2511	4	0.2579
"15ème"	2	0	-0.1853	1	0.2431	1	0.148
"débarquer"	7	0	-0.6486	4	0.7163	3	-0.2355
"report"	5	0	-0.4633	2	0.2498	3	0.3665
"stand"	2	1	0.4593	1	0.2431	0	-0.5394
"by"	2	0	-0.1853	1	0.2431	1	0.148
"mariage"	8	2	0.3248	2	-0.3575	4	0.2579
"insomnia"	3	0	-0.278	3	1.3854	0	-0.809
"royaume"	28	6	0.34	18	2.9007	4	-3.4166
"vivement"	13	3	0.3288	3	-0.5371	7	0.4073
"incomplet"	6	0	-0.5559	6	2.7708	0	-1.6181
"hauteur"	30	5	-0.3272	8	-0.6179	17	0.7737
"rite"	3	0	-0.278	2	0.5601	1	-0.2549
"initiation"	2	0	-0.1853	2	0.9236	0	-0.5394
"noctis"	2	0	-0.1853	2	0.9236	0	-0.5394
"concret"	6	2	0.4878	1	-0.4842	3	0.2338
"détailler"	31	3	-0.894	16	1.426	12	-0.5936
"suspendre"	9	0	-0.8339	5	0.7854	4	-0.2281
"temporel"	6	2	0.4878	2	-0.1828	2	-0.3806
"détacher"	8	1	-0.2785	5	0.9967	2	-0.7006
"roi"	31	4	-0.5805	19	2.6768	8	-1.7923
"trahison"	6	1	-0.1709	1	-0.4842	4	0.5584
"signature"	2	0	-0.1853	1	0.2431	1	0.148
"traité"	4	0	-0.3706	3	0.9135	1	-0.4311
"dommageable"	4	0	-0.3706	3	0.9135	1	-0.4311
"politique"	13	3	0.3288	6	0.5658	4	-0.6964
"antagoniste"	19	2	-0.5789	6	-0.3023	11	0.6669
"accélération"	2	0	-0.1853	2	0.9236	0	-0.5394
"augure"	2	0	-0.1853	1	0.2431	1	0.148
"compliqué"	4	2	0.7726	1	-0.2431	1	-0.4311
"Ça"	8	3	0.7305	4	0.5473	1	-1.2606
"gêne"	3	0	-0.278	3	1.3854	0	-0.809
"22h"	2	0	-0.1853	2	0.9236	0	-0.5394
"cinématique"	120	36	2.5218	46	0.6644	38	-3.0958
"hallucinant"	17	1	-0.8724	7	0.4371	9	0.4238
"fantôme"	12	2	-0.2318	7	1.1012	3	-0.934
"prince"	28	8	0.8125	10	0.2854	10	-0.7529
"émouvant"	10	1	-0.3979	4	0.3247	5	0.2772
"pêche"	15	1	-0.7302	8	0.9756	6	-0.3839
"cuisine"	15	1	-0.7302	5	-0.2369	9	0.6794
"pécher"	5	2	0.6079	3	0.6422	0	-1.3484
"poisson"	7	3	0.8705	2	-0.2652	2	-0.534
"contempler"	6	0	-0.5559	1	-0.4842	5	1.1074
"monument"	9	0	-0.8339	3	-0.2072	6	0.7306
"longuet"	9	1	-0.3369	5	0.7854	3	-0.4778
"30FPS"	4	0	-0.3706	1	-0.2431	3	0.5874
"dramatique"	5	0	-0.4633	2	0.2498	3	0.3665
"redire"	10	1	-0.3979	4	0.3247	5	0.2772
"ordonner"	7	0	-0.6486	4	0.7163	3	-0.2355
"lisibilité"	5	0	-0.4633	4	1.2886	1	-0.6238
"inaperçu"	4	0	-0.3706	3	0.9135	1	-0.4311
"invocation"	44	12	0.9074	22	1.6065	10	-2.9589
"chapeau"	11	1	-0.461	4	0.2507	6	0.3984
"échelle"	11	1	-0.461	3	-0.3579	7	0.7062
"peaufinage"	3	0	-0.278	3	1.3854	0	-0.809
"rimer"	2	0	-0.1853	2	0.9236	0	-0.5394
"intenable"	2	1	0.4593	1	0.2431	0	-0.5394
"susciter"	10	2	0.2219	6	1.0482	2	-1.0639
"entretenir"	3	0	-0.278	2	0.5601	1	-0.2549
"propos"	22	4	-0.2363	9	0.4736	9	-0.4106
"inoubliable"	12	0	-1.1118	5	0.3947	7	0.5368
"overdose"	2	1	0.4593	1	0.2431	0	-0.5394
"trophée"	22	3	-0.4362	3	-1.5661	16	1.959
"ultime"	20	3	-0.3502	7	0.2472	10	0.3434
"flopée"	2	0	-0.1853	1	0.2431	1	0.148
"conseil"	17	1	-0.8724	9	1.0353	7	-0.364
"écouter"	41	10	0.598	15	0.3481	16	-0.6563
"net"	24	5	0.3002	6	-0.6486	13	0.5485
"super-productions"	3	0	-0.278	1	-0.1399	2	0.3527
"bébé"	8	2	0.3248	1	-0.7541	5	0.5453
"chouchou"	2	0	-0.1853	1	0.2431	1	0.148
"incontestablement"	8	0	-0.7412	0	-1.4718	8	2.6786
"poster"	8	1	-0.2785	4	0.5473	3	-0.349
"chevelure"	3	1	0.3254	1	-0.1399	1	-0.2549
"inachevé"	9	1	-0.3369	6	1.2988	2	-0.8779
"flagrant"	10	1	-0.3979	2	-0.5657	7	0.9307
"étonnement"	4	1	0.2411	0	-0.7359	3	0.5874
"béton"	4	0	-0.3706	1	-0.2431	3	0.5874
"armer"	9	0	-0.8339	5	0.7854	4	-0.2281
"chocobos"	13	0	-1.2045	7	0.9143	6	-0.2157
"chimère"	5	3	1.2836	0	-0.9198	2	-0.2442
"déstabiliser"	2	0	-0.1853	1	0.2431	1	0.148
"fièrement"	3	0	-0.278	0	-0.5519	3	1.0045
"personnaliser"	3	0	-0.278	0	-0.5519	3	1.0045
"fainéant"	3	0	-0.278	2	0.5601	1	-0.2549
"manuel"	6	1	-0.1709	3	0.4641	2	-0.3806
"multitude"	8	0	-0.7412	2	-0.3575	6	0.9965
"charme"	35	3	-1.1256	12	-0.2476	20	0.8828
"timide"	6	1	-0.1709	1	-0.4842	4	0.5584
"ado"	3	0	-0.278	1	-0.1399	2	0.3527
"attarder"	14	3	0.2824	7	0.7605	4	-0.84
"méchant"	41	16	2.5893	17	0.6597	8	-3.4672
"empereur"	13	0	-1.2045	10	2.6501	3	-1.1039
"perplexe"	2	0	-0.1853	0	-0.3679	2	0.6696
"métrage"	3	0	-0.278	1	-0.1399	2	0.3527
"let's"	3	0	-0.278	0	-0.5519	3	1.0045
"play"	10	0	-0.9265	3	-0.2785	7	0.9307
"aperçu"	4	2	0.7726	0	-0.7359	2	0.2011
"rage"	10	2	0.2219	1	-1.0421	7	0.9307
"brève"	6	0	-0.5559	3	0.4641	3	0.2338
"quasi"	18	2	-0.5237	4	-0.699	12	1.1763
"chirurgical"	2	0	-0.1853	0	-0.3679	2	0.6696
"chaussure"	2	0	-0.1853	0	-0.3679	2	0.6696
"pouce"	4	1	0.2411	1	-0.2431	2	0.2011
"stuff"	2	0	-0.1853	0	-0.3679	2	0.6696
"légendaire"	7	2	0.3963	0	-1.2878	5	0.77
"gâchis"	8	5	2.06	3	0.2511	0	-2.1575
"casting"	4	0	-0.3706	2	0.3678	2	0.2011
"cruellement"	18	4	0.3328	9	0.8871	5	-1.0496
"taquiner"	2	0	-0.1853	1	0.2431	1	0.148
"sûrement"	26	3	-0.627	14	1.4734	9	-0.7953
"instinctif"	6	2	0.4878	3	0.4641	1	-0.8282
"plaindre"	14	0	-1.2971	5	0.2498	9	0.8567
"royal"	7	0	-0.6486	5	1.2795	2	-0.534
"téléporter"	15	6	1.2888	6	0.3763	3	-1.4633
"inconvénient"	4	0	-0.3706	2	0.3678	2	0.2011
"esquiver"	11	0	-1.0192	7	1.3309	4	-0.4382
"superficiel"	6	0	-0.5559	4	0.9493	2	-0.3806
"restituer"	5	0	-0.4633	4	1.2886	1	-0.6238
"hasardeux"	5	0	-0.4633	5	2.309	0	-1.3484
"manier"	14	2	-0.3205	6	0.4616	6	-0.2943
"correctement"	17	6	1.0442	2	-1.448	9	0.4238
"bat"	3	0	-0.278	2	0.5601	1	-0.2549
"presse"	16	7	1.6651	5	-0.2959	4	-1.1506
"procédé"	6	3	1.0485	2	-0.1828	1	-0.8282
"librement"	8	0	-0.7412	5	0.9967	3	-0.349
"voyager"	27	5	-0.2365	10	0.3342	12	-0.2979
"terriblement"	13	4	0.6405	6	0.5658	3	-1.1039
"généreux"	11	0	-1.0192	8	1.9513	3	-0.7722
"blague"	11	3	0.448	5	0.4955	3	-0.7722
"demeurer"	17	2	-0.4701	7	0.4371	8	0.2461
"décontenancer"	2	0	-0.1853	1	0.2431	1	0.148
"cargaison"	2	1	0.4593	1	0.2431	0	-0.5394
"flageolet"	6	2	0.4878	3	0.4641	1	-0.8282
"égaré"	2	0	-0.1853	2	0.9236	0	-0.5394
"camping"	7	1	-0.2229	3	0.3401	3	-0.2355
"passion"	6	0	-0.5559	3	0.4641	3	0.2338
"promettre"	27	4	-0.4127	16	2.129	7	-1.5992
"approfondir"	11	2	-0.1914	4	0.2507	5	-0.2216
"coupe"	11	3	0.448	8	1.9513	0	-2.9665
"ébauche"	2	0	-0.1853	2	0.9236	0	-0.5394
"attentif"	3	0	-0.278	2	0.5601	1	-0.2549
"destination"	6	1	-0.1709	3	0.4641	2	-0.3806
"sonner"	11	3	0.448	4	0.2507	4	-0.4382
"justesse"	4	0	-0.3706	2	0.3678	2	0.2011
"dit"	9	1	-0.3369	3	-0.2072	5	0.3887
"pester"	13	2	-0.2749	4	-0.2882	7	0.4073
"touchant"	20	3	-0.3502	6	-0.3625	11	0.5421
"attendrir"	2	0	-0.1853	1	0.2431	1	0.148
"road-trip"	9	4	1.1216	3	-0.2072	2	-0.8779
"vedette"	2	0	-0.1853	2	0.9236	0	-0.5394
"débuter"	12	3	0.3834	2	-0.7978	7	0.5368
"objectivement"	5	0	-0.4633	4	1.2886	1	-0.6238
"jaquette"	3	0	-0.278	1	-0.1399	2	0.3527
"producteur"	4	2	0.7726	1	-0.2431	1	-0.4311
"scénaristiques"	13	4	0.6405	6	0.5658	3	-1.1039
"médias"	2	0	-0.1853	1	0.2431	1	0.148
"payant"	4	0	-0.3706	3	0.9135	1	-0.4311
"prologue"	17	6	1.0442	3	-0.9584	8	0.2461
"site"	12	1	-0.526	10	3.1249	1	-2.182
"web"	3	0	-0.278	3	1.3854	0	-0.809
"manga"	7	1	-0.2229	3	0.3401	3	-0.2355
"flou"	5	0	-0.4633	2	0.2498	3	0.3665
"promis"	2	0	-0.1853	1	0.2431	1	0.148
"autorité"	3	0	-0.278	2	0.5601	1	-0.2549
"chasseur"	17	3	-0.2351	3	-0.9584	11	1.0005
"reconnaître"	45	10	0.4434	13	-0.5772	22	0.3792
"platitude"	5	3	1.2836	1	-0.3591	1	-0.6238
"motif"	4	1	0.2411	2	0.3678	1	-0.4311
"ficher|ficher"	5	3	1.2836	1	-0.3591	1	-0.6238
"diable"	4	1	0.2411	3	0.9135	0	-1.0787
"dénuder"	2	0	-0.1853	2	0.9236	0	-0.5394
"mâtiner"	2	0	-0.1853	1	0.2431	1	0.148
"puiser"	7	2	0.3963	5	1.2795	0	-1.8878
"excuser"	6	2	0.4878	3	0.4641	1	-0.8282
"volontiers"	6	1	-0.1709	4	0.9493	1	-0.8282
"couvrir"	4	0	-0.3706	3	0.9135	1	-0.4311
"côte"	5	4	2.2393	1	-0.3591	0	-1.3484
"toi"	13	4	0.6405	6	0.5658	3	-1.1039
"découpage"	3	0	-0.278	2	0.5601	1	-0.2549
"nullité"	3	2	1.0153	1	-0.1399	0	-0.809
"fouillé"	2	0	-0.1853	2	0.9236	0	-0.5394
"écouler"	4	1	0.2411	3	0.9135	0	-1.0787
"ouverture"	12	0	-1.1118	8	1.63	4	-0.5621
"obligation"	8	1	-0.2785	5	0.9967	2	-0.7006
"port"	7	1	-0.2229	4	0.7163	2	-0.534
"Du"	8	3	0.7305	1	-0.7541	4	0.2579
"téléportation"	8	1	-0.2785	5	0.9967	2	-0.7006
"parking"	4	2	0.7726	2	0.3678	0	-1.0787
"démesuré"	2	0	-0.1853	2	0.9236	0	-0.5394
"aisé"	12	2	-0.2318	4	-0.224	6	0.2936
"étaler"	10	1	-0.3979	4	0.3247	5	0.2772
"pratiquer"	5	0	-0.4633	5	2.309	0	-1.3484
"xp"	2	0	-0.1853	2	0.9236	0	-0.5394
"chanter"	15	4	0.4916	5	-0.2369	6	-0.3839
"restaurant"	3	0	-0.278	1	-0.1399	2	0.3527
"implication"	8	0	-0.7412	4	0.5473	4	0.2579
"implémenter"	2	0	-0.1853	1	0.2431	1	0.148
"navrant"	3	0	-0.278	3	1.3854	0	-0.809
"supprimer"	8	3	0.7305	3	0.2511	2	-0.7006
"circuit"	5	1	0.1832	3	0.6422	1	-0.6238
"ballon"	2	1	0.4593	1	0.2431	0	-0.5394
"basket"	2	1	0.4593	1	0.2431	0	-0.5394
"élixir"	6	1	-0.1709	2	-0.1828	3	0.2338
"phœnix"	3	0	-0.278	2	0.5601	1	-0.2549
"immortel"	2	0	-0.1853	2	0.9236	0	-0.5394
"monsieur"	10	2	0.2219	3	-0.2785	5	0.2772
"clic"	5	1	0.1832	4	1.2886	0	-1.3484
"souffrant"	2	1	0.4593	1	0.2431	0	-0.5394
"programmer"	8	1	-0.2785	3	0.2511	4	0.2579
"allier"	5	0	-0.4633	1	-0.3591	4	0.841
"sympas"	29	8	0.7474	17	2.1683	4	-3.6252
"profession"	2	0	-0.1853	2	0.9236	0	-0.5394
"ennuyeux"	28	13	3.0083	8	-0.4848	7	-1.7534
"bannir"	3	1	0.3254	1	-0.1399	1	-0.2549
"tiers"	23	4	-0.2682	9	0.403	10	-0.3197
"malin"	6	2	0.4878	1	-0.4842	3	0.2338
"sphérier"	5	0	-0.4633	5	2.309	0	-1.3484
"légume"	3	1	0.3254	1	-0.1399	1	-0.2549
"arène"	5	1	0.1832	2	0.2498	2	-0.2442
"théorique"	2	0	-0.1853	2	0.9236	0	-0.5394
"règle"	9	0	-0.8339	4	0.4209	5	0.3887
"élémentaire"	2	0	-0.1853	1	0.2431	1	0.148
"hurler"	6	1	-0.1709	1	-0.4842	4	0.5584
"new"	7	0	-0.6486	2	-0.2652	5	0.77
"bizarrement"	5	2	0.6079	2	0.2498	1	-0.6238
"meubler"	2	0	-0.1853	1	0.2431	1	0.148
"bidon"	10	3	0.525	5	0.6229	2	-1.0639
"foison"	7	0	-0.6486	5	1.2795	2	-0.534
"pâle"	5	0	-0.4633	2	0.2498	3	0.3665
"figurer"	5	1	0.1832	3	0.6422	1	-0.6238
"lui-aussi"	2	0	-0.1853	2	0.9236	0	-0.5394
"puisqu'on"	7	1	-0.2229	3	0.3401	3	-0.2355
"booster"	3	0	-0.278	2	0.5601	1	-0.2549
"savamment"	3	0	-0.278	2	0.5601	1	-0.2549
"agaçant"	17	1	-0.8724	9	1.0353	7	-0.364
"fréquent"	11	4	0.8413	4	0.2507	3	-0.7722
"13Go"	2	0	-0.1853	2	0.9236	0	-0.5394
"pivoter"	3	0	-0.278	2	0.5601	1	-0.2549
"retarder"	2	0	-0.1853	1	0.2431	1	0.148
"télécharger"	3	1	0.3254	1	-0.1399	1	-0.2549
"captivant"	10	1	-0.3979	2	-0.5657	7	0.9307
"scriptées"	3	0	-0.278	3	1.3854	0	-0.809
"foudre"	6	0	-0.5559	2	-0.1828	4	0.5584
"numéro"	4	0	-0.3706	1	-0.2431	3	0.5874
"splendide"	12	0	-1.1118	6	0.6934	6	0.2936
"étrangement"	8	1	-0.2785	3	0.2511	4	0.2579
